,sample.id,exp,w_k,filt_type,phys_state,exp_phys_state,mock_neg,kelpbed_time,Archaea_Thaumarchaeota_Nitrososphaeria,Bacteria_Acidobacteria_Acidobacteriia,Bacteria_Acidobacteria_Blastocatellia_.Subgroup_4.,Bacteria_Acidobacteria_Holophagae,Bacteria_Acidobacteria_Thermoanaerobaculia,Bacteria_Actinobacteria_Acidimicrobiia,Bacteria_Actinobacteria_Actinobacteria,Bacteria_Actinobacteria_Nitriliruptoria,Bacteria_Armatimonadetes_Fimbriimonadia,Bacteria_Bacteroidetes_Bacteroidia,Bacteria_Bacteroidetes_Rhodothermia,Bacteria_Calditrichaeota_Calditrichia,Bacteria_Chlamydiae_Chlamydiae,Bacteria_Chloroflexi_Anaerolineae,Bacteria_Cloacimonetes_Cloacimonadia,Bacteria_Cyanobacteria_Oxyphotobacteria,Bacteria_Deinococcus.Thermus_Deinococci,Bacteria_Dependentiae_Babeliae,Bacteria_Epsilonbacteraeota_Campylobacteria,Bacteria_Fibrobacteres_Chitinivibrionia,Bacteria_Fibrobacteres_Fibrobacteria,Bacteria_Firmicutes_Bacilli,Bacteria_Firmicutes_Clostridia,Bacteria_Firmicutes_Erysipelotrichia,Bacteria_Firmicutes_Negativicutes,Bacteria_Fusobacteria_Fusobacteriia,Bacteria_Hydrogenedentes_Hydrogenedentia,Bacteria_Kiritimatiellaeota_Kiritimatiellae,Bacteria_Latescibacteria_Latescibacteria,Bacteria_Lentisphaerae_Lentisphaeria,Bacteria_Nitrospinae_Nitrospinia,Bacteria_Nitrospirae_Nitrospira,Bacteria_Omnitrophicaeota_Omnitrophia,Bacteria_Patescibacteria_Saccharimonadia,Bacteria_Planctomycetes_Phycisphaerae,Bacteria_Planctomycetes_Planctomycetacia,Bacteria_Proteobacteria_Alphaproteobacteria,Bacteria_Proteobacteria_Deltaproteobacteria,Bacteria_Proteobacteria_Gammaproteobacteria,Bacteria_Spirochaetes_Leptospirae,Bacteria_Spirochaetes_Spirochaetia,Bacteria_Tenericutes_Mollicutes,Bacteria_Verrucomicrobia_Verrucomicrobiae
asinsqrt_kelp03_S03_W_sterivex_S91,kelp03_S03_W_sterivex,kelp03,w,sterivex,na,kelp03_W,no,mohawk_may,0.07888537,0,0,0,0,0.235685803,0,0,0,0.566436332,0,0,0,0,0,0.131201844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041747368,0.801096149,0.017405678,0.336246434,0,0,0,0.087134213
asinsqrt_kelp03_S04_kelp1_S139,kelp03_S04_kelp1,kelp03,k,sterivex,H,kelp03_4,no,mohawk_may,0,0,0,0,0,0.058890698,0.093082727,0,0,0.529745799,0,0,0,0,0,0.151396271,0,0,0.025023471,0,0,0.13389643,0.05671982,0,0,0,0,0,0,0,0,0,0,0.028163771,0.095311257,0.393650778,0.366324183,0.085566882,0.614165814,0,0,0,0.254698831
asinsqrt_kelp03_S04_kelp2_S140,kelp03_S04_kelp2,kelp03,k,sterivex,H,kelp03_4,no,mohawk_may,0.020706898,0,0,0,0,0.131696172,0,0.01380405,0,0.662627718,0.009760783,0,0.019522495,0.016906708,0,0.041994389,0.046827438,0,0.056099959,0.016906708,0,0,0,0,0,0.070103086,0.009760783,0.051671377,0.01543352,0.030088815,0,0,0,0,0.071453623,0.308305094,0.330283745,0.133513525,0.531033936,0,0,0,0.338352128
asinsqrt_kelp03_S04_kelp3_S141,kelp03_S04_kelp3,kelp03,k,sterivex,H,kelp03_4,no,mohawk_may,0.036530789,0,0,0,0,0.091956473,0.221318445,0,0,0.43812547,0,0,0,0,0,0.086453333,0,0,0.056314967,0,0,0.21363028,0,0,0.037177697,0.031255833,0,0.018262347,0,0.016907514,0.017597968,0,0,0,0.051442432,0.470714623,0.355576043,0.045011611,0.600057543,0,0,0,0.231819606
asinsqrt_kelp03_S04_N_sterivex_S93,kelp03_S04_N_sterivex,kelp03,w_niskin,sterivex,na,kelp03_W,no,mohawk_may,0.07241293,0,0,0,0,0.126137982,0,0,0,0.722278403,0,0,0,0,0,0.054111031,0,0,0.031394848,0,0,0,0,0,0,0.022880969,0,0,0,0,0,0,0,0,0.007847503,0.074723217,0.68824269,0,0.355101989,0,0,0,0.086608049
asinsqrt_kelp03_S04_W_1_2_S103,kelp03_S04_W_1.2,kelp03,one_point_two_w,one_point_two,na,kelp03_W,no,mohawk_may,0.082108981,0,0,0,0,0.133521862,0,0,0,0.617749442,0,0,0,0,0,0.304602991,0.019701061,0,0.038298864,0,0,0,0,0,0,0.019701061,0,0,0,0,0.024572423,0,0,0,0.131214691,0.174999534,0.595514625,0.090398834,0.314486053,0,0,0,0.289267638
asinsqrt_kelp03_S04_W_sterivex_S92,kelp03_S04_W_sterivex,kelp03,w,sterivex,na,kelp03_W,no,mohawk_may,0.043905474,0,0,0,0,0.191476323,0,0,0,0.622530709,0,0,0,0,0,0.108914672,0,0,0.013086252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048982457,0.765379116,0,0.352416894,0,0,0,0.091494773
asinsqrt_kelp03_S05_N_1_2_S106,kelp03_S05_N_1.2,kelp03,one_point_two_w,one_point_two,na,kelp03_W,no,mohawk_may,0.09514988,0,0,0,0,0.140514248,0,0,0,0.384611279,0,0,0,0,0,0.765691621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123199765,0.122486091,0.468791886,0.057460165,0.264593097,0,0,0,0.212393495
asinsqrt_kelp03_S05_N_sterivex_S95,kelp03_S05_N_sterivex,kelp03,w_niskin,sterivex,na,kelp03_W,no,mohawk_may,0.108973536,0,0,0,0,0.282865358,0,0,0,0.564726635,0,0,0,0,0,0.169409504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013812717,0,0.760236511,0,0.340824977,0,0,0,0.093132687
asinsqrt_kelp03_S05_W_sterivex_S94,kelp03_S05_W_sterivex,kelp03,w,sterivex,na,kelp03_W,no,mohawk_may,0.083585472,0,0,0,0,0.235749539,0,0,0,0.522117419,0,0,0,0,0,0.205285753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020054556,0.054021196,0.806633728,0,0.339107605,0,0,0,0.114275947
