,sample.id,exp,w_k,filt_type,phys_state,exp_phys_state,mock_neg,kelpbed_time,Archaea_Thaumarchaeota_Nitrososphaeria,Bacteria_Acidobacteria_Acidobacteriia,Bacteria_Acidobacteria_Blastocatellia_.Subgroup_4.,Bacteria_Acidobacteria_Holophagae,Bacteria_Acidobacteria_Thermoanaerobaculia,Bacteria_Actinobacteria_Acidimicrobiia,Bacteria_Actinobacteria_Actinobacteria,Bacteria_Actinobacteria_Nitriliruptoria,Bacteria_Armatimonadetes_Fimbriimonadia,Bacteria_Bacteroidetes_Bacteroidia,Bacteria_Bacteroidetes_Rhodothermia,Bacteria_Calditrichaeota_Calditrichia,Bacteria_Chlamydiae_Chlamydiae,Bacteria_Chloroflexi_Anaerolineae,Bacteria_Cloacimonetes_Cloacimonadia,Bacteria_Cyanobacteria_Oxyphotobacteria,Bacteria_Deinococcus.Thermus_Deinococci,Bacteria_Dependentiae_Babeliae,Bacteria_Epsilonbacteraeota_Campylobacteria,Bacteria_Fibrobacteres_Chitinivibrionia,Bacteria_Fibrobacteres_Fibrobacteria,Bacteria_Firmicutes_Bacilli,Bacteria_Firmicutes_Clostridia,Bacteria_Firmicutes_Erysipelotrichia,Bacteria_Firmicutes_Negativicutes,Bacteria_Fusobacteria_Fusobacteriia,Bacteria_Hydrogenedentes_Hydrogenedentia,Bacteria_Kiritimatiellaeota_Kiritimatiellae,Bacteria_Latescibacteria_Latescibacteria,Bacteria_Lentisphaerae_Lentisphaeria,Bacteria_Nitrospinae_Nitrospinia,Bacteria_Nitrospirae_Nitrospira,Bacteria_Omnitrophicaeota_Omnitrophia,Bacteria_Patescibacteria_Saccharimonadia,Bacteria_Planctomycetes_Phycisphaerae,Bacteria_Planctomycetes_Planctomycetacia,Bacteria_Proteobacteria_Alphaproteobacteria,Bacteria_Proteobacteria_Deltaproteobacteria,Bacteria_Proteobacteria_Gammaproteobacteria,Bacteria_Spirochaetes_Leptospirae,Bacteria_Spirochaetes_Spirochaetia,Bacteria_Tenericutes_Mollicutes,Bacteria_Verrucomicrobia_Verrucomicrobiae
asinsqrt_kelp04_S05_EB_S130,kelp04_S05_EB ,kelp04,k,sterivex,E,kelp04_5_E,no,aq_june,0,0,0,0,0,0.051176487,0,0,0,0.782932372,0,0,0,0.012287139,0,0.077787157,0.054515545,0,0.027477644,0,0,0,0,0,0,0.036179339,0,0.036868841,0,0.010032323,0,0,0,0,0,0.223006773,0.373229302,0.128632709,0.509123379,0,0,0,0.228428227
asinsqrt_kelp04_S05_HA_S126,kelp04_S05_HA,kelp04,k,sterivex,H,kelp04_5_H,no,aq_june,0,0,0,0,0,0.070971849,0,0,0,0.805859,0,0,0.014597581,0.011307077,0,0.069449458,0.059865905,0,0.03693637,0,0,0.031986016,0,0,0,0.039178051,0,0,0,0,0,0,0,0,0,0.28712705,0.291258576,0.062655409,0.451757456,0,0,0,0.329511686
asinsqrt_kelp04_S05_HB_S127,kelp04_S05_HB ,kelp04,k,sterivex,H,kelp04_5_H,no,aq_june,0.028336676,0,0,0,0,0.042848404,0,0,0,0.876847538,0,0,0,0,0,0.038620812,0.060139367,0,0,0,0,0.021419285,0,0,0,0.026234162,0,0.03787046,0,0.023947946,0,0,0,0,0.033012807,0.248743691,0.290099833,0.054103299,0.414682618,0,0,0,0.303629123
asinsqrt_kelp04_S05_HC_S128,kelp04_S05_HC,kelp04,k,sterivex,H,kelp04_5_H,no,aq_june,0,0,0,0,0,0.051042978,0,0,0,0.881605456,0,0,0,0,0,0.059653031,0.051042978,0,0,0,0,0,0,0,0,0.032428847,0,0,0,0,0,0,0,0,0.021227537,0.231884107,0.290874749,0.08075875,0.450998738,0,0,0,0.252835317
asinsqrt_kelp05_S01_EA_S145,kelp05_S01_EA,kelp05,k,point_two_flat,E,kelp05_1_E,no,aq_july,0,0,0,0,0.012379768,0.064369963,0,0,0,0.528924446,0.01384109,0,0,0.045920374,0,0.224363641,0.03032799,0,0,0,0,0,0.015162251,0,0,0.066136392,0,0.03333887,0,0,0,0,0,0,0.12285917,0.319181175,0.344918503,0.33070508,0.543493544,0.010721125,0,0.017508083,0.28963317
asinsqrt_kelp05_S01_EB_S146,kelp05_S01_EB,kelp05,k,point_two_flat,E,kelp05_1_E,no,aq_july,0,0,0,0,0.017995533,0.081421712,0,0,0,0.607705958,0,0,0,0.031906361,0,0.188740947,0.036634342,0,0.056114441,0,0.009618646,0,0.011780478,0,0.009618646,0.039668484,0,0,0,0.026344388,0,0,0,0,0.103105001,0.288080395,0.291290996,0.297537723,0.579922345,0,0,0,0.255236353
asinsqrt_kelp05_S01_EC_S147,kelp05_S01_EC,kelp05,k,point_two_flat,E,kelp05_1_E,no,aq_july,0,0,0,0,0.011578438,0.079459591,0,0,0,0.501920642,0,0.009453685,0,0.049595133,0,0.215361191,0.062030808,0,0.048684327,0,0,0,0,0,0.009453685,0.05093091,0,0.025014336,0.011578438,0,0,0,0,0,0.118350824,0.355492624,0.359717333,0.428225388,0.48769918,0,0,0,0.232790448
asinsqrt_kelp05_S01_HA_S142,kelp05_S01_HA,kelp05,k,point_two_flat,H,kelp05_1_H,no,aq_july,0,0,0,0,0,0.106844241,0,0,0,0.546761234,0,0,0,0,0,0.063723927,0.043040112,0,0,0,0,0,0,0,0,0.015333138,0,0,0,0,0,0,0,0,0.041295855,0.384757217,0.482879825,0.061608218,0.432330538,0,0,0,0.431132059
asinsqrt_kelp05_S01_HB_S143,kelp05_S01_HB,kelp05,k,point_two_flat,H,kelp05_1_H,no,aq_july,0,0,0,0,0,0.092295775,0.020026842,0,0,0.502346667,0.019094729,0,0,0.010458169,0,0.067827439,0,0,0.01811474,0,0,0.020917481,0,0,0.008539007,0,0,0,0,0,0,0,0,0,0.046394758,0.375433701,0.458661693,0.061613884,0.531122657,0,0,0,0.41207344
asinsqrt_kelp05_S01_HC_S144,kelp05_S01_HC,kelp05,k,point_two_flat,H,kelp05_1_H,no,aq_july,0,0,0,0,0,0.077777468,0.027954987,0,0,0.45915784,0,0,0,0.023839246,0,0.071572054,0.042985978,0,0,0,0,0.022299309,0,0,0,0.014597633,0,0,0,0,0,0,0,0,0.05656454,0.433060981,0.507045234,0.100596597,0.449204199,0,0,0.023839246,0.43053833
asinsqrt_kelp05_S04_EA_S151,kelp05_S04_EA,kelp05,k,point_two_flat,E,kelp05_4_E,no,aq_july,0,0,0,0,0,0.047480131,0,0,0,0.798236703,0,0,0,0.032396845,0,0.265308888,0.04715356,0,0.013607436,0,0,0,0,0,0,0.032869986,0,0,0,0.021516242,0,0,0,0,0.140999395,0.274672449,0.330666012,0.141883829,0.389733679,0,0,0.063623268,0.211416747
asinsqrt_kelp05_S04_EB_S152,kelp05_S04_EB,kelp05,k,point_two_flat,E,kelp05_4_E,no,aq_july,0,0,0,0,0,0.075319255,0,0,0,0.640046782,0,0,0,0.059899957,0,0.352168304,0.057451268,0,0,0,0,0.015839226,0,0,0,0.035423512,0,0,0,0.036421989,0,0,0,0,0.140859203,0.312962596,0.383881056,0.12590446,0.410409134,0,0,0.139694346,0.247146962
asinsqrt_kelp05_S04_EC_S153,kelp05_S04_EC,kelp05,k,point_two_flat,E,kelp05_4_E,no,aq_july,0.016805734,0,0,0,0,0.058971387,0,0,0,0.68811798,0,0,0.015031364,0.033616216,0,0.297367423,0.071951088,0,0,0,0,0,0,0,0,0.034446696,0,0.027616849,0,0.024355083,0,0,0,0,0.143382212,0.286037487,0.392752019,0.135798517,0.416516273,0,0,0.062694433,0.258903158
asinsqrt_kelp05_S04_HA_S148,kelp05_S04_HA,kelp05,k,point_two_flat,H,kelp05_4_H,no,aq_july,0,0,0,0,0,0.090567278,0,0,0,0.532273904,0.016617598,0,0,0,0,0.122271314,0.02561106,0.019486197,0,0,0,0,0,0,0,0.027559389,0,0,0,0.010175866,0,0,0,0,0.056990479,0.350609599,0.344411554,0.15539328,0.590588446,0,0,0.074613815,0.386955142
asinsqrt_kelp05_S04_HB_S149,kelp05_S04_HB,kelp05,k,point_two_flat,H,kelp05_4_H,no,aq_july,0,0,0,0,0,0.09119486,0,0,0,0.569909145,0,0,0,0.01863354,0,0.167317625,0.031059097,0.012421961,0.015213929,0,0,0.041675515,0,0,0,0.042592118,0,0.024056726,0,0.013888264,0,0,0,0,0.043931264,0.396206419,0.39609806,0.155901287,0.401058902,0,0,0.048923566,0.448733564
asinsqrt_kelp05_S04_HC_S150,kelp05_S04_HC,kelp05,k,point_two_flat,H,kelp05_4_H,no,aq_july,0,0,0,0,0,0.168261383,0.015359592,0,0,0.597616864,0,0,0,0,0,0.116900031,0.049125836,0,0,0,0,0.034730223,0,0,0,0.019829668,0,0,0,0.016980816,0,0,0,0,0.067584427,0.431102158,0.383108578,0.158124156,0.385935277,0,0,0.017735962,0.399794511
asinsqrt_kelp05_S06_EA_S157,kelp05_S06_EA,kelp05,k,point_two_flat,E,kelp05_6_E,no,aq_july,0.01687098,0,0,0,0,0.041905601,0,0,0,0.592220803,0,0,0,0,0,0.312042657,0.030805466,0,0,0,0.015400906,0,0,0,0,0.038355834,0,0,0,0,0,0,0,0,0.145471796,0.430396899,0.28914657,0.135019386,0.477068358,0,0,0.046217343,0.290359245
asinsqrt_kelp05_S06_EB_S158,kelp05_S06_EB,kelp05,k,point_two_flat,E,kelp05_6_E,no,aq_july,0,0,0,0,0,0.065433917,0,0,0,0.715539474,0,0,0.009640971,0.014727131,0,0.22331065,0.053122487,0,0,0,0,0.016699169,0,0,0,0.040533143,0,0,0,0.012446569,0,0,0,0,0.113909789,0.294868339,0.410953716,0.186949183,0.423167616,0,0,0.049493058,0.222088112
asinsqrt_kelp05_S06_EC_S159,kelp05_S06_EC,kelp05,k,point_two_flat,E,kelp05_6_E,no,aq_july,0.016643018,0,0,0,0.010895125,0.070384439,0,0,0,0.674861616,0.01258069,0,0,0.017792252,0,0.208021936,0.030820337,0,0,0,0,0,0,0,0,0.028829215,0,0.029507837,0,0,0,0,0,0,0.125183188,0.297804289,0.389257622,0.169832716,0.451326287,0,0,0,0.311629374
asinsqrt_kelp05_S06_HA_S154,kelp05_S06_HA,kelp05,k,point_two_flat,H,kelp05_6_H,no,aq_july,0,0,0,0,0,0.034703244,0.01131692,0,0,0.411666339,0,0,0,0.014315081,0,0.080267046,0.037198979,0,0,0,0,0.013390475,0,0,0,0,0,0,0,0,0,0,0,0,0.059488045,0.171644723,0.362980896,0.114655892,0.242265834,0,0,0,0.887039325
asinsqrt_kelp05_S06_HB_S155,kelp05_S06_HB,kelp05,k,point_two_flat,H,kelp05_6_H,no,aq_july,0,0,0,0,0,0.065785323,0.009488589,0,0,0.485453003,0,0,0,0,0,0.058780532,0.028469184,0,0,0,0,0.013419092,0,0,0,0,0,0,0,0,0,0,0,0,0.03241489,0.228176962,0.49771331,0.108814843,0.221339616,0,0,0,0.718485938
asinsqrt_kelp05_S06_HC_S156,kelp05_S06_HC,kelp05,k,point_two_flat,H,kelp05_6_H,no,aq_july,0,0,0,0,0.012684678,0.125900881,0,0,0,0.52798458,0.012684678,0,0,0,0,0.070300572,0.034356106,0,0.015535702,0,0,0.029297414,0,0,0,0,0,0,0,0,0,0,0,0,0.059529971,0.414444952,0.460947179,0.082296767,0.460778877,0,0,0,0.40449579
asinsqrt_kelp05_water_inside_kelp_1L_S162,kelp05_water_inside_kelp_1L,kelp05,w,point_two_flat,na,kelp05_W,no,aq_july,0.058536469,0,0,0,0,0.169739867,0,0,0,0.418310482,0.070809152,0,0,0,0,0.574390163,0,0,0,0,0,0,0,0,0,0,0,0.026971842,0,0.011329308,0,0,0,0,0.069277137,0.122675362,0.549384278,0.06707394,0.350710696,0,0,0,0.299446233
asinsqrt_kelp05_water_inside_kelp_200ml_S160,kelp05_water_inside_kelp_200ml,kelp05,w,point_two_flat,na,kelp05_W,no,aq_july,0.051207591,0,0,0,0,0.133203105,0,0,0,0.631774813,0.051207591,0,0,0,0,0.323713442,0,0,0.024300661,0,0,0,0,0,0,0,0,0.01921065,0,0,0.008590841,0,0,0,0.051924456,0.120097692,0.578068458,0.020148424,0.409803,0,0,0,0.228625671
asinsqrt_kelp05_water_outside_kelp_1L_S163,kelp05_water_outside_kelp_1L,kelp05,w,point_two_flat,na,kelp05_W,no,aq_july,0.053224073,0,0,0,0,0.121130129,0,0,0,0.500728884,0.05137593,0,0,0,0,0.42426143,0,0,0.049132298,0,0,0,0,0,0,0,0,0.021220632,0,0,0.013891569,0,0.011342297,0,0.052308135,0.089426565,0.452220126,0.057865641,0.604738481,0,0,0,0.222267383
asinsqrt_kelp05_water_outside_kelp_200ml_S161,kelp05_water_outside_kelp_200ml,kelp05,w,point_two_flat,na,kelp05_W,no,aq_july,0.025750802,0,0,0,0,0.177312563,0,0,0,0.533960863,0.070065515,0,0,0,0,0.495550874,0,0,0,0,0,0,0,0,0,0,0,0.017545175,0,0,0,0,0,0,0.0898437,0.183483063,0.588556913,0.061780725,0.272894829,0,0,0,0.229780631
asinsqrt_kelp06_S01_EA_S175,kelp06_S01_EA,kelp06,k,sterivex,E,kelp06_1_E,no,mohawk_aug,0,0,0,0,0,0.026831283,0,0,0,0.585901502,0,0.010140229,0,0.013091129,0,0.046852047,0.080142981,0,0.055567961,0,0,0.027462851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070797671,0.339733897,0.086745417,0.828722741,0,0,0.013091129,0.117797771
asinsqrt_kelp06_S01_EB_S176,kelp06_S01_EB,kelp06,k,sterivex,E,kelp06_1_E,no,mohawk_aug,0,0,0,0,0,0.101380619,0,0,0,0.544097175,0,0,0,0,0,0.076004955,0.105304561,0,0.021237033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016053171,0.126993005,0.396032373,0.088220432,0.792388019,0,0,0,0.15772983
asinsqrt_kelp06_S01_EC_S177,kelp06_S01_EC,kelp06,k,sterivex,E,kelp06_1_E,no,mohawk_aug,0.010733058,0,0,0,0,0.058492094,0,0,0,0.621454139,0,0.010733058,0,0.017527571,0,0.062930299,0.163499223,0,0.023187687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013856495,0.117515747,0.393517896,0.142053306,0.687844578,0,0,0.021467352,0.205268479
asinsqrt_kelp06_S01_HA_S172,kelp06_S01_HA,kelp06,k,sterivex,H,kelp06_1_H,no,mohawk_aug,0,0,0,0,0,0.139279247,0,0,0,0.471327289,0.012726812,0,0,0.014229104,0,0.136303157,0.205868449,0,0,0,0,0,0,0,0,0,0,0,0,0.020123671,0,0,0,0,0.027740252,0.245686313,0.451211021,0.095380722,0.686503827,0,0,0,0.231491679
asinsqrt_kelp06_S01_HB_S173,kelp06_S01_HB,kelp06,k,sterivex,H,kelp06_1_H,no,mohawk_aug,0,0,0,0,0,0.116419216,0,0,0,0.382639755,0,0,0,0.009468505,0,0.101044377,0.182145981,0,0.041283368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230657202,0.590510192,0.056444256,0.680295771,0,0,0,0.204383355
asinsqrt_kelp06_S01_HC_S174,kelp06_S01_HC,kelp06,k,sterivex,H,kelp06_1_H,no,mohawk_aug,0,0,0.010570525,0,0,0.141697397,0,0,0,0.481805192,0.007474421,0,0,0,0,0.116052474,0.210635631,0,0.024792157,0,0,0,0,0,0,0.038121094,0,0.021793015,0,0,0,0,0,0,0.032153939,0.289830808,0.323098228,0.09258483,0.756639292,0,0,0,0.206846562
asinsqrt_kelp06_S01_W_S164,kelp06_S01_W,kelp06,w,point_two_flat,na,kelp06_W,no,mohawk_aug,0,0,0,0,0,0.114856608,0.021569407,0,0,0.649659369,0.076776101,0,0,0.007397739,0,0.462853615,0.014795884,0,0.016542452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125764903,0.511683045,0.028173223,0.335606435,0,0,0.009060385,0.225180472
asinsqrt_kelp06_S02_EA_S1,kelp06_S02_EA,kelp06,k,sterivex,E,kelp06_2_E,no,mohawk_aug,0,0,0,0,0.008125473,0.086673369,0,0,0,0.568785713,0,0,0,0.028150871,0,0.095597182,0.030945476,0,0.033508084,0,0,0,0.014074041,0,0,0.043770503,0,0.029300678,0,0,0,0,0,0,0.023691576,0.112680213,0.39361759,0.083555596,0.787197263,0,0.008125473,0,0.135525713
asinsqrt_kelp06_S02_EB_S2,kelp06_S02_EB,kelp06,k,sterivex,E,kelp06_2_E,no,mohawk_aug,0.013661508,0,0,0,0,0.079348922,0,0,0,0.683004337,0,0,0,0,0,0.103625412,0.040227989,0,0.035280083,0,0,0,0,0,0,0.048639328,0,0,0,0,0,0.011154459,0,0,0.017637297,0.138866208,0.394531851,0.067900683,0.649969129,0,0,0,0.20419613
asinsqrt_kelp06_S02_EC_S3,kelp06_S02_EC,kelp06,k,sterivex,E,kelp06_2_E,no,mohawk_aug,0,0,0,0,0,0.042946,0.008187055,0,0,0.542181758,0,0,0,0.024563361,0,0.081135796,0.032237692,0,0.0231583,0,0,0,0,0,0,0.055252198,0,0,0,0.012945088,0,0,0,0,0.033261737,0.131755494,0.347734239,0.11158617,0.848587786,0,0,0.014180712,0.098915146
asinsqrt_kelp06_S02_HA_S178,kelp06_S02_HA,kelp06,k,sterivex,H,kelp06_2_H,no,mohawk_aug,0,0,0,0,0,0.033502641,0,0,0,0.375020593,0,0,0,0,0,0.028818659,0.023687728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014211786,0.122926213,0.589370674,0.023687728,0.815474867,0,0,0,0.092352769
asinsqrt_kelp06_S02_HB_S179,kelp06_S02_HB,kelp06,k,sterivex,H,kelp06_2_H,no,mohawk_aug,0.018019724,0,0,0,0.013957716,0.090577205,0,0,0.016117157,0.396971477,0,0,0,0.034194836,0,0.117181774,0.075880139,0,0.011396304,0,0,0,0,0,0.009869436,0.026114617,0,0,0,0,0,0,0,0,0.035132235,0.275178697,0.454534495,0.08107299,0.799036218,0,0,0,0.179982588
asinsqrt_kelp06_S02_HC_S180,kelp06_S02_HC,kelp06,k,sterivex,H,kelp06_2_H,no,mohawk_aug,0,0,0,0,0,0.107675354,0,0,0,0.451258248,0,0,0,0,0,0.093491699,0.072881339,0,0.013522159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024064448,0.280387673,0.485865213,0.082713521,0.741950038,0,0,0,0.160102144
asinsqrt_kelp06_S02_W_S165,kelp06_S02_W,kelp06,w,point_two_flat,na,kelp06_W,no,mohawk_aug,0.022593629,0,0,0,0.010533633,0.132539327,0.016985475,0,0,0.605811683,0.068317609,0,0,0,0,0.5043154,0.026231057,0,0.030533547,0,0,0,0.00666198,0.00666198,0,0.016319056,0,0,0,0,0,0,0,0,0,0.150871727,0.499369248,0.030167751,0.322142385,0,0,0,0.256164855
asinsqrt_kelp06_S03_W_S166,kelp06_S03_W,kelp06,w,point_two_flat,na,kelp06_W,no,mohawk_aug,0.018480663,0,0,0,0,0.099680746,0.024448664,0,0,0.614734967,0.063048838,0.006533576,0,0.016443096,0,0.405493464,0.009980296,0,0.044166064,0,0,0,0,0,0,0.019961587,0,0.015089112,0,0,0,0,0,0,0.027465009,0.116713234,0.563616369,0.030416614,0.394785072,0,0,0.00533463,0.214593525
asinsqrt_kelp06_S04_W_S167,kelp06_S04_W,kelp06,w,point_two_flat,na,kelp06_W,no,mohawk_aug,0.024535825,0,0,0,0,0.104436492,0,0,0,0.629890428,0.062588905,0,0,0.012930578,0,0.38258837,0,0,0.038366636,0.008177879,0,0,0.011565396,0,0,0,0,0,0,0,0,0,0,0,0,0.110701796,0.547468735,0.008177879,0.442179234,0,0,0,0.174359185
asinsqrt_kelp06_S05_W_S168,kelp06_S05_W,kelp06,w,point_two_flat,na,kelp06_W,no,mohawk_aug,0.029998126,0,0,0,0,0.10991341,0,0,0,0.639941081,0.061568485,0,0,0.02524608,0.008658523,0.395822128,0.033540183,0,0.022076505,0,0,0,0,0,0.010604547,0.034640585,0,0.012245153,0,0,0,0,0,0,0.013690583,0.132695769,0.550358229,0.032976236,0.405528629,0,0,0,0.162935316
asinsqrt_kelp06_S06_W_S169,kelp06_S06_W,kelp06,w,point_two_flat,na,kelp06_W,no,mohawk_aug,0,0,0,0,0,0.112060425,0,0,0,0.65080469,0.09208027,0,0,0,0,0.547253184,0,0.00711538,0,0,0,0,0,0,0,0,0,0.008714562,0,0,0,0,0,0,0.033380009,0.090827726,0.457614443,0.018141574,0.284963787,0,0,0,0.241580748
asinsqrt_kelp06_S07_W_S170,kelp06_S07_W,kelp06,w,point_two_flat,na,kelp06_W,no,mohawk_aug,0,0,0,0,0,0.13028731,0,0,0,0.624512987,0.094872942,0,0,0,0,0.605016604,0,0,0,0,0,0,0,0,0,0,0,0.01334738,0,0,0,0,0,0,0.044281408,0.099033136,0.40042982,0.014157087,0.290078507,0,0,0,0.253472553
asinsqrt_kelp06_S08_W_S171,kelp06_S08_W,kelp06,w,point_two_flat,na,kelp06_W,no,mohawk_aug,0.012883031,0,0,0,0,0.128441337,0.016149989,0,0,0.624895897,0.086802484,0,0,0,0,0.572857382,0.006886134,0.006886134,0.014608099,0,0,0,0.00843379,0,0,0,0,0,0,0,0,0,0,0,0.022840527,0.118952866,0.424443817,0.013772594,0.304940276,0,0,0,0.257191912
