sample.id.davis	sample.id	asin.sample.id	loc.in.bed	exp	w_k	filt_type	phys_state	exp_phys_state	mock_neg	kelpbed_time
kelp05_S01_HB_S143	kelp05_S01_HB	asinsqrt_kelp05_S01_HB_S143	inside_edge	kelp05	k	point_two_flat	H	kelp05_1_H	no	aq_july
kelp05_S01_HC_S144	kelp05_S01_HC	asinsqrt_kelp05_S01_HC_S144	inside_edge	kelp05	k	point_two_flat	H	kelp05_1_H	no	aq_july
kelp05_S04_EA_S151	kelp05_S04_EA	asinsqrt_kelp05_S04_EA_S151	outside_edge	kelp05	k	point_two_flat	E	kelp05_4_E	no	aq_july
kelp05_S04_EB_S152	kelp05_S04_EB	asinsqrt_kelp05_S04_EB_S152	outside_edge	kelp05	k	point_two_flat	E	kelp05_4_E	no	aq_july
kelp05_S04_EC_S153	kelp05_S04_EC	asinsqrt_kelp05_S04_EC_S153	outside_edge	kelp05	k	point_two_flat	E	kelp05_4_E	no	aq_july
kelp05_S04_HA_S148	kelp05_S04_HA	asinsqrt_kelp05_S04_HA_S148	outside_edge	kelp05	k	point_two_flat	H	kelp05_4_H	no	aq_july
kelp05_S04_HB_S149	kelp05_S04_HB	asinsqrt_kelp05_S04_HB_S149	outside_edge	kelp05	k	point_two_flat	H	kelp05_4_H	no	aq_july
kelp05_S04_HC_S150	kelp05_S04_HC	asinsqrt_kelp05_S04_HC_S150	outside_edge	kelp05	k	point_two_flat	H	kelp05_4_H	no	aq_july
kelp05_S06_EA_S157	kelp05_S06_EA	asinsqrt_kelp05_S06_EA_S157	inside	kelp05	k	point_two_flat	E	kelp05_6_E	no	aq_july
kelp05_S06_EB_S158	kelp05_S06_EB	asinsqrt_kelp05_S06_EB_S158	inside	kelp05	k	point_two_flat	E	kelp05_6_E	no	aq_july
kelp05_S06_EC_S159	kelp05_S06_EC	asinsqrt_kelp05_S06_EC_S159	inside	kelp05	k	point_two_flat	E	kelp05_6_E	no	aq_july
kelp05_S06_HA_S154	kelp05_S06_HA	asinsqrt_kelp05_S06_HA_S154	inside	kelp05	k	point_two_flat	H	kelp05_6_H	no	aq_july
kelp05_S06_HB_S155	kelp05_S06_HB	asinsqrt_kelp05_S06_HB_S155	inside	kelp05	k	point_two_flat	H	kelp05_6_H	no	aq_july
kelp05_S06_HC_S156	kelp05_S06_HC	asinsqrt_kelp05_S06_HC_S156	inside	kelp05	k	point_two_flat	H	kelp05_6_H	no	aq_july
kelp05_water_inside_kelp_1L_S162	kelp05_water_inside_kelp_1L	asinsqrt_kelp05_water_inside_kelp_1L_S162	na	kelp05	w	point_two_flat	na	kelp05_W	no	aq_july
kelp05_water_inside_kelp_200ml_S160	kelp05_water_inside_kelp_200ml	asinsqrt_kelp05_water_inside_kelp_200ml_S160	na	kelp05	w	point_two_flat	na	kelp05_W	no	aq_july
